# lncRNAs with conserved cores across mammals
# panel: 19 species (rheMac10, mm39, rn7, HLoryCun3, bosTau9, susScr11, HLbalEde1, HLcamDro2, equCab3, felCat9, canFam5, HLmanJav2, HLpteVam2, eriEur2, dasNov3, HLeleMax1, monDom5, HLdidVir1, HLnotEug3)
# criteria: lncRNA cores in >= 18 species, mean length >= 120 bp, mean cosine-SW distance <= 0.1
# total genes: 1107  |  intergenic (>5 kb from coding): 234
gene_bare	gene_name	overlap_category	n_cores	max_species	mean_species	best_mean_dist	best_median_dist	max_core_len	coding_partners
ENSG00000288927		antisense	1	19	19.0	0.0123	0.0058	648.0	ENSG00000162496
ENSG00000293426	SEC1P	antisense	1	18	18.0	0.0123	0.0077	688.0	ENSG00000063180,ENSG00000142233
ENSG00000307190		antisense	1	18	18.0	0.0125	0.0086	488.0	ENSG00000020577
ENSG00000226889	ATF6-DT	antisense	1	19	19.0	0.0125	0.0113	728.0	ENSG00000081721
ENSG00000297638		antisense	1	18	18.0	0.0125	0.009	313.0	ENSG00000139800
ENSG00000256628	ZBTB11-AS1	antisense	1	19	19.0	0.0126	0.0128	848.0	ENSG00000066422
ENSG00000272525		antisense	1	18	18.0	0.0126	0.0046	968.0	ENSG00000145741
ENSG00000305025		antisense	1	18	18.0	0.0127	0.0109	608.0	ENSG00000115524
ENSG00000299358		antisense	1	18	18.0	0.0127	0.0099	368.0	ENSG00000083223,ENSG00000135070
ENSG00000298332		antisense	1	18	18.0	0.0127	0.0102	288.0	ENSG00000083642
ENSG00000245330	DEPTOR-AS1	antisense	1	19	19.0	0.0128	0.0088	1048.0	ENSG00000155792
ENSG00000233223	MPDU1-AS1	antisense	1	19	19.0	0.0129	0.0057	1248.0	ENSG00000129226,ENSG00000129255
ENSG00000261722		antisense	1	18	18.0	0.0129	0.0124	448.0	ENSG00000186153
ENSG00000260101	AFTPH-DT	antisense	1	19	19.0	0.0131	0.0071	395.0	ENSG00000119844
ENSG00000225822	UBXN7-AS1	antisense	1	18	18.0	0.0131	0.0068	488.0	ENSG00000163960
ENSG00000228701		antisense	1	19	19.0	0.0131	0.0114	375.0	ENSG00000107854
ENSG00000277368		antisense	1	19	19.0	0.0132	0.0094	768.0	ENSG00000127870
ENSG00000260274		antisense	1	19	19.0	0.0132	0.009	528.0	ENSG00000140400,ENSG00000169375
ENSG00000260898		antisense	1	19	19.0	0.0135	0.0106	408.0	ENSG00000159322
ENSG00000291060		antisense	1	19	19.0	0.0135	0.008	369.0	ENSG00000140743
ENSG00000297572		antisense	1	19	19.0	0.0136	0.0089	488.0	ENSG00000069188
ENSG00000272269	NUP153-AS1	antisense	1	18	18.0	0.0137	0.012	448.0	ENSG00000124789
ENSG00000272078		antisense	1	18	18.0	0.0137	0.0107	408.0	ENSG00000130940
ENSG00000289304		antisense	1	18	18.0	0.0137	0.011	608.0	ENSG00000111832
ENSG00000225850		antisense	1	18	18.0	0.0138	0.013	328.0	ENSG00000181274
ENSG00000274425		antisense	1	19	19.0	0.0138	0.0103	528.0	ENSG00000076662,ENSG00000161847
ENSG00000224046	DMTF1-AS1	antisense	1	19	19.0	0.0139	0.0059	448.0	ENSG00000135164
ENSG00000228804		antisense	1	18	18.0	0.014	0.0144	262.0	ENSG00000113916,ENSG00000198471
ENSG00000293629		antisense	1	19	19.0	0.0141	0.0128	248.0	ENSG00000105996,ENSG00000105997
ENSG00000183784	DOCK8-AS1	antisense	1	18	18.0	0.0143	0.0112	608.0	ENSG00000107099
ENSG00000271155		antisense	1	18	18.0	0.0143	0.007	488.0	ENSG00000185920
ENSG00000286837		antisense	1	19	19.0	0.0143	0.0096	346.0	ENSG00000120925,ENSG00000131931
ENSG00000281376	ABALON	antisense	1	19	19.0	0.0144	0.0089	368.0	ENSG00000171552
ENSG00000281691	RBM5-AS1	antisense	1	19	19.0	0.0144	0.0125	208.0	ENSG00000003756,ENSG00000004534
ENSG00000281344	HELLPAR	antisense	1	18	18.0	0.0144	0.0105	288.0	ENSG00000017427,ENSG00000183395
ENSG00000271474		antisense	1	19	19.0	0.0145	0.0117	1008.0	ENSG00000182168
ENSG00000257167	TMPO-AS1	antisense	1	19	19.0	0.0147	0.0089	368.0	ENSG00000120802
ENSG00000290102		antisense	1	19	19.0	0.0149	0.0103	448.0	ENSG00000123080
ENSG00000229750		antisense	2	19	18.5	0.0149	0.0114	568.0	ENSG00000115966
ENSG00000285844	KCNQ5-DT	antisense	1	19	19.0	0.0149	0.0132	768.0	ENSG00000185760
ENSG00000299884		antisense	1	19	19.0	0.0149	0.0094	307.0	ENSG00000112038
ENSG00000233785	SAT1-DT	antisense	1	18	18.0	0.015	0.009	546.0	ENSG00000130066,ENSG00000288706
ENSG00000245864	MEF2C-AS2	antisense	1	19	19.0	0.015	0.0135	191.0	ENSG00000081189
ENSG00000303455		antisense	1	18	18.0	0.0151	0.0096	448.0	ENSG00000182985
ENSG00000295753		antisense	1	18	18.0	0.0151	0.0126	267.0	ENSG00000151012
ENSG00000253102	LRRC59-AS1	antisense	1	19	19.0	0.0152	0.0081	582.0	ENSG00000108829
ENSG00000286459		antisense	1	19	19.0	0.0152	0.0112	288.0	ENSG00000175229
ENSG00000293681		antisense	1	18	18.0	0.0154	0.0142	180.0	ENSG00000123388,ENSG00000180818
ENSG00000289987		antisense	1	19	19.0	0.0154	0.0105	568.0	ENSG00000136826
ENSG00000295428		antisense	1	19	19.0	0.0154	0.0119	368.0	ENSG00000144406
ENSG00000260233	ZNRD2-DT	antisense	1	19	19.0	0.0154	0.0106	495.0	ENSG00000173465,ENSG00000176973
ENSG00000222043		antisense	1	19	19.0	0.0154	0.0132	283.0	ENSG00000116044
ENSG00000259083		antisense	1	19	19.0	0.0154	0.0117	368.0	ENSG00000100941
ENSG00000234028	EIF2AK3-DT	antisense	1	18	18.0	0.0156	0.0109	648.0	ENSG00000172071
ENSG00000259577	CERNA1	antisense	1	18	18.0	0.0156	0.0108	248.0	ENSG00000069966,ENSG00000128833
ENSG00000287434		antisense	1	19	19.0	0.0156	0.013	373.0	ENSG00000035499
ENSG00000272933		antisense	1	19	19.0	0.0156	0.0117	208.0	ENSG00000171206
ENSG00000286596		antisense	1	19	19.0	0.0156	0.008	1328.0	ENSG00000169851
ENSG00000306815		antisense	1	19	19.0	0.0157	0.0123	433.0	ENSG00000130695
ENSG00000265666	RARA-AS1	antisense	2	18	18.0	0.0157	0.0092	448.0	ENSG00000131759
ENSG00000236859	NIFK-AS1	antisense	1	18	18.0	0.0157	0.0092	552.0	ENSG00000074054,ENSG00000155438
ENSG00000272599		antisense	1	18	18.0	0.0158	0.0146	208.0	ENSG00000166321
ENSG00000254024	GRHL2-DT	antisense	1	19	19.0	0.0158	0.0126	248.0	ENSG00000083307
ENSG00000289294		antisense	1	19	19.0	0.0158	0.0126	1248.0	ENSG00000119004
ENSG00000307882		antisense	1	19	19.0	0.0158	0.0132	367.0	ENSG00000011590
ENSG00000293165	FABP5P3	antisense	1	18	18.0	0.0158	0.0115	198.0	ENSG00000055609
ENSG00000228824		antisense	1	19	19.0	0.0158	0.0064	643.0	ENSG00000165300
ENSG00000276728		antisense	1	19	19.0	0.0159	0.0109	528.0	ENSG00000186834
ENSG00000263412	NFE2L1-DT	antisense	1	18	18.0	0.0159	0.0073	888.0	ENSG00000082641
ENSG00000248050	SYBU-AS1	antisense	1	18	18.0	0.016	0.0136	248.0	ENSG00000147642
ENSG00000232093	DCST1-AS1	antisense	1	19	19.0	0.0161	0.0123	456.0	ENSG00000143537,ENSG00000163357
ENSG00000289788		antisense	1	19	19.0	0.0161	0.0142	186.0	ENSG00000157764
ENSG00000307565		antisense	1	18	18.0	0.0161	0.0105	288.0	ENSG00000150347
ENSG00000306030		antisense	1	19	19.0	0.0161	0.0106	328.0	ENSG00000198478
ENSG00000287705		antisense	1	18	18.0	0.0162	0.0121	528.0	ENSG00000203877
ENSG00000267610		antisense	1	18	18.0	0.0162	0.0131	408.0	ENSG00000008441
ENSG00000303284		antisense	1	19	19.0	0.0162	0.0121	614.0	ENSG00000140945
ENSG00000289327		antisense	1	19	19.0	0.0163	0.0111	888.0	ENSG00000135636
ENSG00000268592	RAET1E-AS1	antisense	1	18	18.0	0.0163	0.0095	529.0	ENSG00000120256,ENSG00000164520,ENSG00000203722
ENSG00000278177		antisense	1	19	19.0	0.0163	0.011	328.0	ENSG00000183098
ENSG00000197989	SNHG12	antisense	1	19	19.0	0.0164	0.0149	1288.0	ENSG00000180098
ENSG00000296676		antisense	1	18	18.0	0.0164	0.0104	568.0	ENSG00000111218
ENSG00000225733	FGD5-AS1	antisense	1	19	19.0	0.0164	0.012	356.0	ENSG00000154783,ENSG00000177463
ENSG00000286305		antisense	1	19	19.0	0.0165	0.0145	220.0	ENSG00000196367
ENSG00000299828		antisense	1	18	18.0	0.0165	0.0107	909.0	ENSG00000171533
ENSG00000307236		antisense	1	19	19.0	0.0166	0.0038	888.0	ENSG00000138675
ENSG00000236753	MKLN1-AS	antisense	1	18	18.0	0.0168	0.0064	608.0	ENSG00000128585
ENSG00000301282		antisense	1	18	18.0	0.0168	0.014	168.0	ENSG00000247315
ENSG00000236526		antisense	1	19	19.0	0.0168	0.017	168.0	ENSG00000132640
ENSG00000303930		antisense	1	19	19.0	0.0169	0.0145	288.0	ENSG00000184254
ENSG00000284747		antisense	1	19	19.0	0.0169	0.0138	488.0	ENSG00000116285
ENSG00000305861		antisense	1	19	19.0	0.0169	0.0121	419.0	ENSG00000178104
ENSG00000218537	MIF-AS1	antisense	1	18	18.0	0.017	0.0119	448.0	ENSG00000240972,ENSG00000251357
ENSG00000297522		antisense	1	19	19.0	0.017	0.0129	288.0	ENSG00000084652
ENSG00000270820	USP34-DT	antisense	1	19	19.0	0.017	0.0133	456.0	ENSG00000082898
ENSG00000289124		antisense	1	19	19.0	0.017	0.0153	408.0	ENSG00000172269
ENSG00000272663	PPP1R21-DT	antisense	1	19	19.0	0.0171	0.0121	373.0	ENSG00000162869
ENSG00000278376		antisense	1	19	19.0	0.0171	0.0129	328.0	ENSG00000110367
ENSG00000301045		antisense	1	18	18.0	0.0172	0.0142	183.0	ENSG00000040731
ENSG00000310566		antisense	1	19	19.0	0.0172	0.0138	291.0	ENSG00000089163
ENSG00000267519	MIR23AHG	antisense	1	18	18.0	0.0172	0.0096	928.0	ENSG00000132003
ENSG00000301373		antisense	1	19	19.0	0.0173	0.0152	248.0	ENSG00000146802
ENSG00000293873		antisense	1	19	19.0	0.0173	0.0142	248.0	ENSG00000023171
ENSG00000265148	TSPOAP1-AS1	antisense	1	19	19.0	0.0173	0.0156	149.0	ENSG00000108375,ENSG00000213246,ENSG00000285897
ENSG00000289891		antisense	1	19	19.0	0.0173	0.0118	368.0	ENSG00000153391,ENSG00000267140
ENSG00000267598		antisense	1	19	19.0	0.0175	0.0069	521.0	ENSG00000160888
ENSG00000298810		antisense	1	18	18.0	0.0175	0.0154	368.0	ENSG00000099974
ENSG00000258197	NKX2-2-AS1	antisense	1	18	18.0	0.0175	0.0073	768.0	ENSG00000125820
ENSG00000258520		antisense	1	18	18.0	0.0175	0.0121	228.0	ENSG00000081177,ENSG00000100626
ENSG00000273618		antisense	1	18	18.0	0.0177	0.0138	328.0	ENSG00000136367
ENSG00000288936		antisense	1	19	19.0	0.0178	0.0175	153.0	ENSG00000130449
ENSG00000224699	LAMTOR5-AS1	antisense	1	19	19.0	0.0178	0.0078	692.0	ENSG00000134248,ENSG00000168679
ENSG00000227857		antisense	1	18	18.0	0.0178	0.0123	230.0	ENSG00000278139
ENSG00000234614	C2CD4D-AS1	antisense	1	18	18.0	0.0179	0.0164	208.0	ENSG00000196407
ENSG00000286433		antisense	1	19	19.0	0.0179	0.014	398.0	ENSG00000117751
ENSG00000286463		antisense	1	19	19.0	0.0179	0.0134	248.0	ENSG00000109906
ENSG00000303989		antisense	1	19	19.0	0.0179	0.0158	168.0	ENSG00000150394
ENSG00000303901		antisense	1	18	18.0	0.0179	0.0166	312.0	ENSG00000066427,ENSG00000100815
ENSG00000267277		antisense	1	18	18.0	0.018	0.0134	278.0	ENSG00000173928
ENSG00000284738		antisense	1	19	19.0	0.0181	0.0114	528.0	ENSG00000143614,ENSG00000198837
ENSG00000272192		antisense	1	19	19.0	0.0182	0.0108	448.0	ENSG00000205268
ENSG00000296154		antisense	1	19	19.0	0.0182	0.0185	408.0	ENSG00000153774,ENSG00000261717
ENSG00000278156		antisense	1	18	18.0	0.0182	0.0124	220.0	ENSG00000102804
ENSG00000267439		antisense	1	19	19.0	0.0185	0.0066	631.0	ENSG00000205155,ENSG00000267796
ENSG00000223635	NUP133-DT	antisense	1	18	18.0	0.0187	0.0168	286.0	ENSG00000069248
ENSG00000226510		antisense	1	18	18.0	0.0187	0.0173	168.0	ENSG00000105668
ENSG00000237149		antisense	1	18	18.0	0.0188	0.0108	466.0	ENSG00000165655
ENSG00000289063		antisense	1	19	19.0	0.0188	0.0134	768.0	ENSG00000113811
ENSG00000299086		antisense	1	18	18.0	0.019	0.0119	276.0	ENSG00000109158,ENSG00000170516
ENSG00000272589		antisense	1	19	19.0	0.0191	0.0176	143.0	ENSG00000214655
ENSG00000302957		antisense	1	18	18.0	0.0192	0.0154	288.0	ENSG00000176971
ENSG00000260122		antisense	1	18	18.0	0.0192	0.0088	408.0	ENSG00000196876
ENSG00000299019		antisense	1	19	19.0	0.0193	0.0141	728.0	ENSG00000176986,ENSG00000196968
ENSG00000297406		antisense	1	18	18.0	0.0193	0.0132	199.0	ENSG00000196369
ENSG00000275457		antisense	1	18	18.0	0.0193	0.0178	328.0	ENSG00000088930
ENSG00000230316	FEZF1-AS1	antisense	2	19	19.0	0.0194	0.0125	688.0	ENSG00000128610
ENSG00000235527	HIPK1-AS1	antisense	1	19	19.0	0.0195	0.0125	468.0	ENSG00000118655,ENSG00000163349
ENSG00000285612		antisense	1	18	18.0	0.0196	0.0174	168.0	ENSG00000197555
ENSG00000301695		antisense	1	19	19.0	0.0196	0.013	358.0	ENSG00000138101
ENSG00000176753	PAK6-AS1	antisense	1	18	18.0	0.0197	0.0168	488.0	ENSG00000137843
ENSG00000253420		antisense	1	19	19.0	0.0197	0.0178	248.0	ENSG00000169946
ENSG00000293498		antisense	2	19	18.5	0.0197	0.0169	568.0	ENSG00000178814
ENSG00000303230		antisense	1	19	19.0	0.0197	0.0205	174.0	ENSG00000182601
ENSG00000307644		antisense	1	19	19.0	0.0198	0.0106	334.0	ENSG00000101104,ENSG00000166913
ENSG00000287299		antisense	1	19	19.0	0.0199	0.0134	335.0	ENSG00000196141
ENSG00000289231		antisense	1	18	18.0	0.0199	0.0145	528.0	ENSG00000133884,ENSG00000173825
ENSG00000287553		antisense	1	19	19.0	0.02	0.0142	288.0	ENSG00000108963
ENSG00000294371		antisense	1	18	18.0	0.02	0.0184	269.0	ENSG00000137090
ENSG00000288012		antisense	1	18	18.0	0.0201	0.0106	368.0	ENSG00000166266
ENSG00000272023		antisense	1	19	19.0	0.0201	0.0169	146.0	ENSG00000155329
ENSG00000307136		antisense	1	18	18.0	0.0202	0.0161	368.0	ENSG00000182504
ENSG00000177369	FLJ40194	antisense	1	19	19.0	0.0203	0.0191	137.0	ENSG00000198740
ENSG00000224189	HAGLR	antisense	1	18	18.0	0.0204	0.0072	568.0	ENSG00000128652
ENSG00000308091		antisense	1	19	19.0	0.0204	0.0211	168.0	ENSG00000122012
ENSG00000271380	PYGO2-AS1	antisense	1	18	18.0	0.0205	0.0176	328.0	ENSG00000160691,ENSG00000163348
ENSG00000297096		antisense	1	18	18.0	0.0206	0.0092	259.0	ENSG00000155897
ENSG00000266441		antisense	1	18	18.0	0.0207	0.0167	193.0	ENSG00000088756
ENSG00000229533		antisense	1	19	19.0	0.0207	0.014	248.0	ENSG00000146618
ENSG00000302966		antisense	1	18	18.0	0.0207	0.0114	234.0	ENSG00000177628
ENSG00000295934		antisense	1	18	18.0	0.0208	0.0175	253.0	ENSG00000135249
ENSG00000309953		antisense	1	18	18.0	0.0208	0.014	368.0	ENSG00000104320
ENSG00000288856		antisense	1	18	18.0	0.0208	0.0096	528.0	ENSG00000183337
ENSG00000261513		antisense	1	18	18.0	0.0208	0.0114	426.0	ENSG00000040199
ENSG00000230408	BZW1-AS1	antisense	1	18	18.0	0.0208	0.0186	323.0	ENSG00000082153
ENSG00000294778		antisense	1	19	19.0	0.0209	0.0135	448.0	ENSG00000165046
ENSG00000230729		antisense	1	18	18.0	0.021	0.0176	137.0	ENSG00000168913
ENSG00000249085		antisense	1	18	18.0	0.021	0.0203	356.0	ENSG00000083312
ENSG00000271991	TTC32-DT	antisense	1	18	18.0	0.0211	0.009	968.0	ENSG00000183891
ENSG00000288751		antisense	1	19	19.0	0.0211	0.0109	328.0	ENSG00000204227
ENSG00000246560		antisense	1	18	18.0	0.0211	0.014	274.0	ENSG00000109332
ENSG00000286974		antisense	1	18	18.0	0.0211	0.0206	128.0	ENSG00000168477
ENSG00000222020	HDAC4-AS1	antisense	1	18	18.0	0.0212	0.0171	219.0	ENSG00000068024
ENSG00000308298		antisense	1	18	18.0	0.0213	0.0195	208.0	ENSG00000083067,ENSG00000119138
ENSG00000284839		antisense	1	18	18.0	0.0213	0.019	328.0	ENSG00000154678
ENSG00000297808		antisense	1	18	18.0	0.0213	0.0139	288.0	ENSG00000184349
ENSG00000232860	SMG7-AS1	antisense	1	18	18.0	0.0213	0.0105	506.0	ENSG00000116698
ENSG00000302261		antisense	1	19	19.0	0.0214	0.0169	568.0	ENSG00000132646
ENSG00000286447		antisense	1	18	18.0	0.0214	0.0131	238.0	ENSG00000080224
ENSG00000253320	MAILR	antisense	1	19	19.0	0.0215	0.0199	273.0	ENSG00000155096
ENSG00000241313		antisense	1	18	18.0	0.0216	0.017	179.0	ENSG00000018408
ENSG00000294902		antisense	1	18	18.0	0.0216	0.021	248.0	ENSG00000112182
ENSG00000305737		antisense	1	19	19.0	0.0217	0.017	244.0	ENSG00000179950,ENSG00000185189
ENSG00000258920		antisense	1	19	19.0	0.0217	0.0117	363.0	ENSG00000053254
ENSG00000234892		antisense	1	19	19.0	0.0217	0.0177	248.0	ENSG00000159307
ENSG00000301358		antisense	1	18	18.0	0.0218	0.0204	168.0	ENSG00000087095
ENSG00000277283	RAB35-AS1	antisense	1	18	18.0	0.0218	0.0127	448.0	ENSG00000111737
ENSG00000224505	HEXIM2-AS1	antisense	1	18	18.0	0.0218	0.0171	528.0	ENSG00000168517,ENSG00000186834
ENSG00000289979		antisense	1	19	19.0	0.0218	0.0149	408.0	ENSG00000092330
ENSG00000253806		antisense	1	18	18.0	0.0219	0.0202	164.0	ENSG00000130193
ENSG00000306708		antisense	1	18	18.0	0.0219	0.0202	123.0	ENSG00000137825
ENSG00000267365	KCNJ2-AS1	antisense	1	18	18.0	0.0219	0.0136	568.0	ENSG00000123700
ENSG00000287009		antisense	1	19	19.0	0.0221	0.0117	608.0	ENSG00000177853
ENSG00000245937	SLC12A2-DT	antisense	1	18	18.0	0.0221	0.019	280.0	ENSG00000230561
ENSG00000260806		antisense	1	19	19.0	0.0223	0.0176	608.0	ENSG00000090060
ENSG00000304102		antisense	1	19	19.0	0.0225	0.0195	208.0	ENSG00000164972
ENSG00000307066		antisense	1	18	18.0	0.0225	0.0167	288.0	ENSG00000132510
ENSG00000204044	SLC12A5-AS1	antisense	1	19	19.0	0.0226	0.0128	288.0	ENSG00000100985,ENSG00000124140
ENSG00000305541		antisense	1	19	19.0	0.0226	0.0179	488.0	ENSG00000143398
ENSG00000240990	HOXA11-AS	antisense	3	19	18.33	0.0226	0.01	368.0	ENSG00000005073
ENSG00000253445		antisense	1	19	19.0	0.0226	0.0186	285.0	ENSG00000214357
ENSG00000268093		antisense	1	18	18.0	0.0226	0.0174	407.0	ENSG00000063176
ENSG00000261054	SYNM-AS2	antisense	1	18	18.0	0.0227	0.018	408.0	ENSG00000182253
ENSG00000287642		antisense	1	19	19.0	0.0227	0.0172	685.0	ENSG00000137460
ENSG00000298520		antisense	1	18	18.0	0.0227	0.0161	248.0	ENSG00000115241
