core_id	gene_bare	gene_name	source_gene_id	ref_chrom	ref_start	ref_end	ref_strand	reference_core_length	mean_reference_island_length	overlap_category	coding_partners	n_species_accepted	n_species_d_le_0.05	n_species_d_le_0.04	n_species_d_le_0.03	n_species_d_le_0.02	n_species_d_le_0.01	mean_dist	median_dist	max_dist	mean_aligned_length	median_aligned_length	species_present
ENSG00000182165_core_1	ENSG00000182165	TP53TG1	U_ENSG00000182165.21	chr7	87345249	87345593	-	344	344.0	near_coding_5kb	.	17	16	16	13	7	1	0.0253	0.0216	0.0899	299.1	306.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,rheMac10,rn7,susScr11
ENSG00000183242_core_1	ENSG00000183242	WT1-AS	U_ENSG00000183242.14	chr11	32435671	32435846	+	175	175.0	near_coding_5kb	.	19	9	6	6	1	0	0.0545	0.0534	0.0977	130.3	133.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000183784_core_2	ENSG00000183784	DOCK8-AS1	U_ENSG00000183784.7	chr9	214573	215181	-	608	608.0	antisense	ENSG00000107099	18	17	17	17	16	8	0.0143	0.0112	0.0553	392.4	374.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000184068_core_2	ENSG00000184068	SREBF2-AS1	U_ENSG00000184068.2	chr22	41832772	41833260	-	488	488.0	antisense	ENSG00000100147,ENSG00000198911	17	16	16	16	16	16	0.0115	0.007	0.0837	431.4	476.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,rheMac10,rn7,susScr11
ENSG00000186594_core_3	ENSG00000186594	MIR22HG	U_ENSG00000186594.17	chr17	1716129	1716272	-	143	143.0	antisense	ENSG00000167716	19	19	19	14	0	0	0.0273	0.0271	0.0326	136.8	142.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000188511_core_2	ENSG00000188511	MIR3667HG	U_ENSG00000188511.15	chr22	49415187	49415875	-	688	688.0	intergenic	.	17	16	15	14	11	0	0.0207	0.0142	0.0536	392.1	412.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000188693_core_1	ENSG00000188693	CYP51A1-AS1	U_ENSG00000188693.9	chr7	92134643	92134971	+	328	328.0	antisense	ENSG00000001630,ENSG00000240720,ENSG00000285772,ENSG00000285953,ENSG00000289027	17	16	14	13	9	1	0.0254	0.0191	0.066	293.4	295.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,monDom5,rheMac10,rn7,susScr11
ENSG00000197322_core_1	ENSG00000197322	TMEM132E-DT	U_ENSG00000197322.5	chr17	34578955	34579403	-	448	448.0	near_coding_5kb	.	19	18	17	14	14	11	0.0177	0.0096	0.0584	377.6	400.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000197989_core_3	ENSG00000197989	SNHG12	U_ENSG00000197989.16	chr1	28580829	28582117	-	1288	1288.0	antisense	ENSG00000180098	19	19	18	16	15	7	0.0164	0.0149	0.0443	660.3	607.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000203280_core_3	ENSG00000203280		U_ENSG00000203280.5	chr22	25112235	25112423	-	188	188.0	antisense	ENSG00000197077	18	14	14	11	6	0	0.0331	0.0229	0.0851	139.1	141.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000204044_core_3	ENSG00000204044	SLC12A5-AS1	U_ENSG00000204044.6	chr20	46021712	46022000	-	288	288.0	antisense	ENSG00000100985,ENSG00000124140	19	16	15	15	14	1	0.0226	0.0128	0.0688	219.2	238.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000204055_core_1	ENSG00000204055		U_ENSG00000204055.5	chr9	129176765	129177137	+	372	372.0	antisense+sense	ENSG00000188483,ENSG00000235007	18	17	16	16	16	13	0.0141	0.006	0.0932	321.4	363.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000204261_core_1	ENSG00000204261	PSMB8-AS1	U_ENSG00000204261.9	chr6	32844725	32845013	+	288	288.0	antisense+sense	ENSG00000168394,ENSG00000204264,ENSG00000240065	18	13	12	10	6	1	0.0371	0.0252	0.0977	229.4	248.5	HLbalEde1,HLcamDro2,HLdidVir1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000204380_core_1	ENSG00000204380	PKP4-AS1	U_ENSG00000204380.5	chr2	158678541	158678829	-	288	288.0	antisense	ENSG00000144283	18	18	18	18	18	10	0.0117	0.01	0.0176	260.0	285.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7
ENSG00000204422_core_5	ENSG00000204422		U_ENSG00000204422.7	chr6	31689580	31689704	-	124	124.0	antisense+sense	ENSG00000204424,ENSG00000204427,ENSG00000250641	18	17	17	16	0	0	0.0252	0.0225	0.051	118.7	124.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000204685_core_1	ENSG00000204685	STARD7-AS1	U_ENSG00000204685.10	chr2	96208486	96208979	+	493	493.0	antisense	ENSG00000084090	17	17	17	16	13	8	0.0145	0.0102	0.0338	442.5	481.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,equCab3,eriEur2,felCat9,mm39,rheMac10,rn7,susScr11
ENSG00000204876_core_2	ENSG00000204876		U_ENSG00000204876.6	chr7	155964672	155965800	+	1128	1128.0	intergenic	.	18	14	13	13	7	1	0.0307	0.0238	0.075	489.3	470.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000205086_core_1	ENSG00000205086	LINC02898	U_ENSG00000205086.8	chr2	41938325	41938533	-	208	208.0	intergenic	.	18	11	11	9	7	0	0.0424	0.0273	0.0891	160.5	187.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000205830_core_1	ENSG00000205830		U_ENSG00000205830.1	chr4	27207662	27207910	-	248	248.0	intergenic	.	17	17	14	11	8	1	0.0256	0.0262	0.0459	188.4	189.0	HLbalEde1,HLcamDro2,HLdidVir1,HLmanJav2,HLnotEug3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000207955_core_1	ENSG00000207955		U_ENSG00000207955.5	chr9	128392222	128392950	-	728	728.0	antisense	ENSG00000167118	19	15	15	14	13	11	0.023	0.0053	0.0849	520.1	701.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000212694_core_2	ENSG00000212694	LINC01089	U_ENSG00000212694.8	chr12	121802951	121803359	-	408	408.0	sense_overlapping	ENSG00000139725	18	17	17	17	17	14	0.0111	0.0064	0.0637	377.2	411.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000213599_core_4	ENSG00000213599	SLX1A-SULT1A3	U_ENSG00000213599.10	chr16	30200748	30200876	+	128	128.0	antisense+sense	ENSG00000132207,ENSG00000169627,ENSG00000261052	17	16	14	13	4	0	0.0273	0.022	0.0694	123.1	128.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000213888_core_3	ENSG00000213888		U_ENSG00000213888.4	chr22	31347544	31348112	+	568	568.0	near_coding_5kb	.	17	17	16	14	14	11	0.0145	0.0082	0.0466	433.8	526.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,monDom5,rheMac10,rn7,susScr11
ENSG00000214248_core_3	ENSG00000214248		U_ENSG00000214248.3	chr19	7903216	7903784	-	568	568.0	antisense	ENSG00000076984,ENSG00000171017	18	16	16	13	10	2	0.0236	0.0163	0.0662	386.4	353.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000214293_core_2	ENSG00000214293	APTR	U_ENSG00000214293.12	chr7	77696116	77696265	-	149	149.0	near_coding_5kb	.	18	14	10	5	1	0	0.0452	0.037	0.095	131.7	140.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000214401_core_1	ENSG00000214401	KANSL1-AS1	U_ENSG00000214401.7	chr17	46193607	46193738	+	131	131.0	antisense	ENSG00000120071	18	13	11	8	1	0	0.0366	0.0306	0.0704	114.8	128.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000214432_core_1	ENSG00000214432		U_ENSG00000214432.10	chr15	90994696	90994935	+	239	239.0	antisense	ENSG00000184056,ENSG00000198901	19	16	12	4	1	0	0.0381	0.0381	0.0549	225.9	228.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000214546_core_1	ENSG00000214546		U_ENSG00000214546.5	chr17	39622132	39622453	+	321	321.0	near_coding_5kb	.	18	15	14	11	5	1	0.0343	0.026	0.0909	220.6	219.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000215023_core_2	ENSG00000215023	GAL3ST2-AS1	U_ENSG00000215023.2	chr2	241801732	241801907	-	175	175.0	antisense	ENSG00000154252	18	16	15	11	5	0	0.0307	0.0282	0.0737	121.9	115.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000215417_core_1	ENSG00000215417	MIR17HG	U_ENSG00000215417.15	chr13	91347726	91347959	+	233	233.0	intergenic	.	19	19	18	16	15	1	0.0167	0.0118	0.0474	230.0	233.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000215417_core_3	ENSG00000215417	MIR17HG	U_ENSG00000215417.15	chr13	91350489	91351457	+	968	968.0	intergenic	.	19	19	19	19	19	18	0.0044	0.0026	0.0167	753.3	895.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000218109_core_1	ENSG00000218109	KIRREL3-AS3	U_ENSG00000218109.6	chr11	127002989	127003477	+	488	488.0	antisense	ENSG00000149571	19	12	11	11	11	7	0.0333	0.0164	0.0953	244.1	218.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000218537_core_2	ENSG00000218537	MIF-AS1	U_ENSG00000218537.1	chr22	23894764	23895212	-	448	448.0	antisense	ENSG00000240972,ENSG00000251357	18	18	17	15	10	8	0.017	0.0119	0.0425	313.8	356.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000220925_core_1	ENSG00000220925		U_ENSG00000220925.2	chrX	70148720	70148888	-	168	168.0	antisense	ENSG00000089289	18	15	14	11	1	0	0.0348	0.0276	0.0937	144.1	157.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000221817_core_3	ENSG00000221817	PPP3CB-AS1	U_ENSG00000221817.13	chr10	73519730	73520018	+	288	288.0	antisense	ENSG00000107758,ENSG00000166348	19	19	19	19	19	12	0.0105	0.0094	0.0168	268.6	276.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000221949_core_1	ENSG00000221949	LINC01465	U_ENSG00000221949.6	chr12	62602362	62603130	-	768	768.0	near_coding_5kb	.	19	19	18	18	16	12	0.0111	0.0069	0.0439	591.8	619.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000222020_core_1	ENSG00000222020	HDAC4-AS1	U_ENSG00000222020.6	chr2	239401171	239401390	+	219	219.0	antisense	ENSG00000068024	18	18	18	14	13	0	0.0212	0.0171	0.0398	212.7	217.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000222033_core_2	ENSG00000222033	LINC01124	U_ENSG00000222033.1	chr2	170713119	170713847	-	728	728.0	near_coding_5kb	.	19	18	16	11	10	2	0.026	0.0196	0.0674	403.3	333.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000222043_core_1	ENSG00000222043		U_ENSG00000222043.2	chr2	177264438	177264721	+	283	283.0	antisense	ENSG00000116044	19	19	19	19	16	1	0.0154	0.0132	0.0264	264.9	271.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000223343_core_2	ENSG00000223343		U_ENSG00000223343.2	chr3	48989641	48989988	-	347	347.0	antisense	ENSG00000177479,ENSG00000178467	18	15	10	10	7	0	0.0358	0.0266	0.0997	270.2	285.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000223475_core_1	ENSG00000223475	VOPP1-DT	U_ENSG00000223475.1	chr7	55587783	55587934	+	151	151.0	near_coding_5kb	.	18	16	12	0	0	0	0.0415	0.0398	0.0628	137.0	147.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7
ENSG00000223635_core_1	ENSG00000223635	NUP133-DT	U_ENSG00000223635.3	chr1	229508159	229508445	+	286	286.0	antisense	ENSG00000069248	18	18	18	16	13	1	0.0187	0.0168	0.0305	266.5	283.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000223652_core_3	ENSG00000223652		U_ENSG00000223652.3	chr5	123087571	123087859	-	288	288.0	antisense	ENSG00000061455	17	13	12	10	6	0	0.0341	0.0292	0.088	158.4	147.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,susScr11
