gene_bare	gene_name	overlap_category	coding_partners	n_cores	max_species_accepted	mean_species_per_core	best_mean_dist	best_median_dist	max_reference_core_length	max_species_d_le_0_05	max_species_d_le_0_04	max_species_d_le_0_03	max_species_d_le_0_02	max_species_d_le_0_01
ENSG00000240497		antisense	ENSG00000154310	1	19	19.0	0.0089	0.0032	1048	19	18	18	17	13
ENSG00000267146		antisense	ENSG00000091157	1	19	19.0	0.0089	0.0086	248	19	19	19	19	18
ENSG00000310289		antisense	ENSG00000100906	1	18	18.0	0.0089	0.0064	608	18	18	18	18	13
ENSG00000273391		antisense	ENSG00000146963,ENSG00000269955	1	19	19.0	0.0091	0.0064	1168	19	19	19	16	16
ENSG00000251867		antisense	ENSG00000205189	1	18	18.0	0.0091	0.009	368	18	18	18	18	13
ENSG00000272933		antisense	ENSG00000171206	2	19	18.0	0.0093	0.0051	568	19	18	16	16	14
ENSG00000228830		antisense	ENSG00000168264	1	19	19.0	0.0094	0.0093	270	19	19	19	19	16
ENSG00000287825		antisense	ENSG00000137161	1	18	18.0	0.0094	0.008	487	18	18	18	18	10
ENSG00000289875		antisense	ENSG00000125968	1	17	17.0	0.0094	0.0077	768	17	17	16	16	14
ENSG00000250742	LINC02381	antisense	ENSG00000123415	2	19	18.0	0.0095	0.0083	408	19	19	19	19	13
ENSG00000268858		antisense	ENSG00000101150,ENSG00000183260	2	19	18.5	0.0097	0.0066	408	19	19	18	17	14
ENSG00000310092		antisense	ENSG00000118733	1	19	19.0	0.0097	0.0092	320	19	19	19	19	11
ENSG00000254933		antisense	ENSG00000085741	1	19	19.0	0.0097	0.009	306	19	19	19	19	15
ENSG00000266208	GJD3-AS1	antisense	ENSG00000183153	1	18	18.0	0.0098	0.007	805	18	18	16	16	15
ENSG00000258752		antisense	ENSG00000053254	1	19	19.0	0.0098	0.0093	248	19	19	19	19	13
ENSG00000259642	ST20-AS1	antisense	ENSG00000259332	1	17	17.0	0.0099	0.007	888	16	16	16	16	16
ENSG00000307036		antisense	ENSG00000166106	1	19	19.0	0.0099	0.0066	648	19	19	17	17	15
ENSG00000287125		antisense	ENSG00000154102	1	19	19.0	0.0101	0.0081	808	19	19	19	18	12
ENSG00000260352	SMG1-DT	antisense	ENSG00000157106	1	19	19.0	0.0102	0.0098	248	19	19	19	19	12
ENSG00000235478		antisense	ENSG00000183307	1	18	18.0	0.0103	0.0055	528	18	18	16	15	14
ENSG00000271360		antisense	ENSG00000148429	1	19	19.0	0.0103	0.0065	648	19	18	18	17	15
ENSG00000221817	PPP3CB-AS1	antisense	ENSG00000107758,ENSG00000166348	1	19	19.0	0.0105	0.0094	288	19	19	19	19	12
ENSG00000305212		antisense	ENSG00000085276	1	19	19.0	0.0105	0.0089	309	19	19	19	19	11
ENSG00000306567		antisense	ENSG00000168843	1	19	19.0	0.0105	0.0072	568	18	18	18	18	13
ENSG00000302846		antisense	ENSG00000275410	1	19	19.0	0.0105	0.0098	300	19	19	19	19	11
ENSG00000307064		antisense	ENSG00000105856	1	19	19.0	0.0106	0.006	688	19	18	18	16	15
ENSG00000270194	GOLGA4-AS1	antisense	ENSG00000144674	1	18	18.0	0.0106	0.0056	1088	17	17	17	17	15
ENSG00000285921		antisense	ENSG00000184384	1	18	18.0	0.0106	0.0078	368	18	17	17	17	15
ENSG00000279762		antisense	ENSG00000108671	1	18	18.0	0.0106	0.0074	848	18	18	18	15	14
ENSG00000264066		antisense	ENSG00000132591	1	19	19.0	0.0107	0.0089	448	19	19	19	17	13
ENSG00000267707		antisense	ENSG00000101489	1	19	19.0	0.0107	0.0104	208	19	19	19	19	1
ENSG00000305473		antisense	ENSG00000039600	1	19	19.0	0.0107	0.0086	441	19	19	18	18	14
ENSG00000272841		antisense	ENSG00000085511	1	18	18.0	0.0107	0.0049	808	17	17	17	17	16
ENSG00000245384		antisense	ENSG00000168772	1	17	17.0	0.0108	0.0102	213	17	17	17	16	3
ENSG00000254928		antisense	ENSG00000175538	1	19	19.0	0.0108	0.0099	288	19	19	19	19	10
ENSG00000257550		antisense	ENSG00000170653,ENSG00000267281	1	18	18.0	0.0109	0.0081	368	18	17	17	17	14
ENSG00000287243		antisense	ENSG00000111218	1	18	18.0	0.0109	0.0093	408	18	18	18	17	12
ENSG00000289056		antisense	ENSG00000151883	2	19	19.0	0.0109	0.0054	728	18	18	18	16	14
ENSG00000276116		antisense	ENSG00000033170	1	19	19.0	0.011	0.0038	1048	17	17	17	17	14
ENSG00000230630	DNM3OS	antisense	ENSG00000197959	1	19	19.0	0.0113	0.0103	288	19	19	19	19	7
ENSG00000267042		antisense	ENSG00000184451	1	18	18.0	0.0113	0.0088	288	18	18	17	17	14
ENSG00000297567		antisense	ENSG00000158796	1	17	17.0	0.0115	0.0077	568	17	17	16	15	11
ENSG00000184068	SREBF2-AS1	antisense	ENSG00000100147,ENSG00000198911	1	17	17.0	0.0115	0.007	488	16	16	16	16	16
ENSG00000264982		antisense	ENSG00000141441	1	19	19.0	0.0116	0.0107	248	19	19	19	18	5
ENSG00000308015		antisense	ENSG00000151150	1	19	19.0	0.0116	0.0102	248	19	19	19	19	7
ENSG00000306924		antisense	ENSG00000058091	1	18	18.0	0.0116	0.01	248	18	18	18	17	10
ENSG00000259721		antisense	ENSG00000166923	1	18	18.0	0.0117	0.0072	488	18	18	18	14	11
ENSG00000204380	PKP4-AS1	antisense	ENSG00000144283	1	18	18.0	0.0117	0.01	288	18	18	18	18	10
ENSG00000225174		antisense	ENSG00000081087	1	19	19.0	0.0117	0.0071	488	18	18	18	17	15
ENSG00000298202		antisense	ENSG00000164081,ENSG00000164082	1	19	19.0	0.0118	0.0106	248	19	19	19	19	5
ENSG00000304124		antisense	ENSG00000171532	1	19	19.0	0.0118	0.0107	207	19	19	19	19	0
ENSG00000263823		antisense	ENSG00000153339	1	18	18.0	0.0119	0.0074	1008	17	17	17	17	13
ENSG00000273702		antisense	ENSG00000141367	2	19	18.0	0.0119	0.0098	408	19	19	19	16	12
ENSG00000280620	SCAANT1	antisense	ENSG00000163635	1	19	19.0	0.0121	0.0081	488	19	19	19	15	11
ENSG00000253744		antisense	ENSG00000153914	1	18	18.0	0.0121	0.0107	264	18	18	18	17	8
ENSG00000250734		antisense	ENSG00000143376	1	18	18.0	0.0121	0.0088	322	17	17	17	17	13
ENSG00000288966		antisense	ENSG00000140396	1	19	19.0	0.0122	0.0112	248	19	19	19	18	5
ENSG00000288927		antisense	ENSG00000162496	1	19	19.0	0.0123	0.0058	648	18	17	17	17	14
ENSG00000293426	SEC1P	antisense	ENSG00000063180,ENSG00000142233	1	18	18.0	0.0123	0.0077	688	18	17	15	15	13
ENSG00000307190		antisense	ENSG00000020577	1	18	18.0	0.0125	0.0086	488	18	17	16	15	11
ENSG00000226889	ATF6-DT	antisense	ENSG00000081721	1	19	19.0	0.0125	0.0113	728	18	18	18	18	8
ENSG00000297638		antisense	ENSG00000139800	1	18	18.0	0.0125	0.009	313	17	17	17	17	11
ENSG00000256628	ZBTB11-AS1	antisense	ENSG00000066422	1	19	19.0	0.0126	0.0128	848	19	19	18	16	8
ENSG00000269439		antisense	ENSG00000130304,ENSG00000130313	1	17	17.0	0.0126	0.0092	460	16	16	16	16	12
ENSG00000283849		antisense	ENSG00000144655	1	17	17.0	0.0126	0.0089	368	17	17	16	15	9
ENSG00000272525		antisense	ENSG00000145741	1	18	18.0	0.0126	0.0046	968	17	17	16	14	13
ENSG00000305025		antisense	ENSG00000115524	1	18	18.0	0.0127	0.0109	608	18	18	17	16	6
ENSG00000299358		antisense	ENSG00000083223,ENSG00000135070	1	18	18.0	0.0127	0.0099	368	18	17	17	17	11
ENSG00000273062	RALGPS2-AS1	antisense	ENSG00000116191	1	17	17.0	0.0127	0.0072	568	17	17	16	13	10
ENSG00000298332		antisense	ENSG00000083642	1	18	18.0	0.0127	0.0102	288	18	17	17	17	9
ENSG00000267519	MIR23AHG	antisense	ENSG00000132003	2	18	17.5	0.0128	0.0054	928	17	16	15	14	11
ENSG00000310134		antisense	ENSG00000144366	1	17	17.0	0.0128	0.0061	728	16	16	16	15	12
ENSG00000245330	DEPTOR-AS1	antisense	ENSG00000155792	1	19	19.0	0.0128	0.0088	1048	19	18	17	15	12
ENSG00000233223	MPDU1-AS1	antisense	ENSG00000129226,ENSG00000129255	1	19	19.0	0.0129	0.0057	1248	18	18	18	17	12
ENSG00000261722		antisense	ENSG00000186153	1	18	18.0	0.0129	0.0124	448	18	18	17	17	7
ENSG00000260101	AFTPH-DT	antisense	ENSG00000119844	1	19	19.0	0.0131	0.0071	395	18	17	17	16	14
ENSG00000225822	UBXN7-AS1	antisense	ENSG00000163960	1	18	18.0	0.0131	0.0068	488	17	17	17	17	13
ENSG00000228701		antisense	ENSG00000107854	1	19	19.0	0.0131	0.0114	375	19	19	19	16	4
ENSG00000277368		antisense	ENSG00000127870	1	19	19.0	0.0132	0.0094	768	18	18	18	17	10
ENSG00000260274		antisense	ENSG00000140400,ENSG00000169375	1	19	19.0	0.0132	0.009	528	18	18	17	17	12
ENSG00000287637		antisense	ENSG00000157540	1	17	17.0	0.0133	0.0129	175	17	17	17	17	0
ENSG00000310415		antisense	ENSG00000070756	1	17	17.0	0.0134	0.0115	208	17	17	16	16	0
ENSG00000260898		antisense	ENSG00000159322	1	19	19.0	0.0135	0.0106	408	19	19	19	16	8
ENSG00000310250		antisense	ENSG00000095951	1	17	17.0	0.0135	0.0128	248	17	17	17	17	0
ENSG00000291060		antisense	ENSG00000140743	2	19	18.0	0.0135	0.008	369	19	19	17	16	12
ENSG00000289065		antisense	ENSG00000170634	1	17	17.0	0.0136	0.0097	328	17	17	16	15	10
ENSG00000297572		antisense	ENSG00000069188	1	19	19.0	0.0136	0.0089	488	18	18	17	17	12
ENSG00000271857		antisense	ENSG00000124813	1	17	17.0	0.0136	0.0101	288	16	16	16	16	8
ENSG00000272269	NUP153-AS1	antisense	ENSG00000124789	1	18	18.0	0.0137	0.012	448	18	18	16	16	8
ENSG00000272078		antisense	ENSG00000130940	2	18	17.5	0.0137	0.0107	408	17	17	17	17	8
ENSG00000289304		antisense	ENSG00000111832	1	18	18.0	0.0137	0.011	608	18	18	16	16	7
ENSG00000291122	CASTOR3P	antisense	ENSG00000066923,ENSG00000213413,ENSG00000292277	1	17	17.0	0.0137	0.0126	194	17	17	17	16	0
ENSG00000225850		antisense	ENSG00000181274	1	18	18.0	0.0138	0.013	328	18	18	18	17	1
ENSG00000274425		antisense	ENSG00000076662,ENSG00000161847	1	19	19.0	0.0138	0.0103	528	18	18	18	18	8
ENSG00000224046	DMTF1-AS1	antisense	ENSG00000135164	1	19	19.0	0.0139	0.0059	448	18	17	16	16	14
ENSG00000293434	AHSA2P	antisense	ENSG00000115464	2	17	17.0	0.0139	0.0128	368	17	17	17	16	0
ENSG00000228804		antisense	ENSG00000113916,ENSG00000198471	1	18	18.0	0.014	0.0144	262	18	18	18	18	0
ENSG00000293629		antisense	ENSG00000105996,ENSG00000105997	1	19	19.0	0.0141	0.0128	248	19	19	19	17	1
ENSG00000183784	DOCK8-AS1	antisense	ENSG00000107099	1	18	18.0	0.0143	0.0112	608	17	17	17	16	8
ENSG00000271155		antisense	ENSG00000185920	1	18	18.0	0.0143	0.007	488	17	16	15	15	14
ENSG00000286837		antisense	ENSG00000120925,ENSG00000131931	1	19	19.0	0.0143	0.0096	346	18	18	18	17	11
ENSG00000281376	ABALON	antisense	ENSG00000171552	1	19	19.0	0.0144	0.0089	368	18	18	17	15	12
ENSG00000229388	TAF12-DT	antisense	ENSG00000120656	1	17	17.0	0.0144	0.0143	288	17	17	17	16	0
ENSG00000281691	RBM5-AS1	antisense	ENSG00000003756,ENSG00000004534	1	19	19.0	0.0144	0.0125	208	19	19	19	15	3
ENSG00000281344	HELLPAR	antisense	ENSG00000017427,ENSG00000183395	1	18	18.0	0.0144	0.0105	288	17	17	16	16	8
ENSG00000204685	STARD7-AS1	antisense	ENSG00000084090	1	17	17.0	0.0145	0.0102	493	17	17	16	13	8
ENSG00000271474		antisense	ENSG00000182168	1	19	19.0	0.0145	0.0117	1008	19	18	16	14	8
ENSG00000257167	TMPO-AS1	antisense	ENSG00000120802	1	19	19.0	0.0147	0.0089	368	18	18	18	18	13
ENSG00000290102		antisense	ENSG00000123080	1	19	19.0	0.0149	0.0103	448	18	18	18	16	7
ENSG00000229750		antisense	ENSG00000115966	2	19	18.5	0.0149	0.0114	568	18	18	17	16	5
ENSG00000307734		antisense	ENSG00000131236	1	17	17.0	0.0149	0.008	688	16	15	15	15	15
ENSG00000285844	KCNQ5-DT	antisense	ENSG00000185760	1	19	19.0	0.0149	0.0132	768	19	19	17	14	8
ENSG00000299129		antisense	ENSG00000142549	1	17	17.0	0.0149	0.014	332	17	17	16	14	4
ENSG00000299884		antisense	ENSG00000112038	1	19	19.0	0.0149	0.0094	307	19	18	16	15	11
ENSG00000255384		antisense	ENSG00000167283,ENSG00000285827	1	17	17.0	0.015	0.0111	248	16	16	16	15	4
ENSG00000293448		antisense	ENSG00000179363	1	17	17.0	0.015	0.009	408	15	15	15	15	12
ENSG00000233785	SAT1-DT	antisense	ENSG00000130066,ENSG00000288706	1	18	18.0	0.015	0.009	546	17	17	15	15	11
ENSG00000245864	MEF2C-AS2	antisense	ENSG00000081189	1	19	19.0	0.015	0.0135	191	19	19	19	16	0
ENSG00000286883		antisense	ENSG00000115275,ENSG00000135637,ENSG00000204822	1	17	17.0	0.0151	0.0131	309	17	17	16	14	2
ENSG00000303455		antisense	ENSG00000182985	1	18	18.0	0.0151	0.0096	448	17	17	16	15	11
ENSG00000295753		antisense	ENSG00000151012	1	18	18.0	0.0151	0.0126	267	18	18	17	16	1
ENSG00000275038		antisense	ENSG00000164438	1	17	17.0	0.0152	0.0079	968	16	15	14	14	11
ENSG00000253102	LRRC59-AS1	antisense	ENSG00000108829	1	19	19.0	0.0152	0.0081	582	18	17	17	15	11
ENSG00000289585		antisense	ENSG00000086475	1	17	17.0	0.0152	0.0109	288	17	17	15	14	5
ENSG00000286459		antisense	ENSG00000175229	1	19	19.0	0.0152	0.0112	288	19	18	16	16	8
ENSG00000301671		antisense	ENSG00000113387	1	17	17.0	0.0153	0.0134	408	16	16	16	15	4
ENSG00000294480		antisense	ENSG00000099991	1	17	17.0	0.0153	0.0074	568	16	15	14	14	13
ENSG00000269210		antisense	ENSG00000214694	1	17	17.0	0.0153	0.0118	328	16	15	15	15	4
ENSG00000293681		antisense	ENSG00000123388,ENSG00000180818	1	18	18.0	0.0154	0.0142	180	18	18	18	16	0
ENSG00000289987		antisense	ENSG00000136826	1	19	19.0	0.0154	0.0105	568	19	19	16	14	9
ENSG00000295428		antisense	ENSG00000144406	1	19	19.0	0.0154	0.0119	368	18	18	18	17	2
ENSG00000260233	ZNRD2-DT	antisense	ENSG00000173465,ENSG00000176973	1	19	19.0	0.0154	0.0106	495	19	19	16	14	7
ENSG00000222043		antisense	ENSG00000116044	1	19	19.0	0.0154	0.0132	283	19	19	19	16	1
ENSG00000259083		antisense	ENSG00000100941	1	19	19.0	0.0154	0.0117	368	19	18	18	15	3
ENSG00000234028	EIF2AK3-DT	antisense	ENSG00000172071	1	18	18.0	0.0156	0.0109	648	17	17	17	14	8
ENSG00000259577	CERNA1	antisense	ENSG00000069966,ENSG00000128833	1	18	18.0	0.0156	0.0108	248	17	17	17	15	6
ENSG00000287434		antisense	ENSG00000035499	1	19	19.0	0.0156	0.013	373	19	18	17	16	1
ENSG00000286596		antisense	ENSG00000169851	1	19	19.0	0.0156	0.008	1328	18	17	15	14	12
ENSG00000299793		antisense	ENSG00000152822	1	17	17.0	0.0156	0.0109	288	16	16	15	14	2
ENSG00000306815		antisense	ENSG00000130695	1	19	19.0	0.0157	0.0123	433	18	18	17	16	1
ENSG00000265666	RARA-AS1	antisense	ENSG00000131759	2	18	18.0	0.0157	0.0092	448	17	17	15	15	10
ENSG00000236859	NIFK-AS1	antisense	ENSG00000074054,ENSG00000155438	1	18	18.0	0.0157	0.0092	552	17	17	17	14	11
ENSG00000272599		antisense	ENSG00000166321	1	18	18.0	0.0158	0.0146	208	18	18	18	16	0
ENSG00000254024	GRHL2-DT	antisense	ENSG00000083307	1	19	19.0	0.0158	0.0126	248	19	19	19	14	1
ENSG00000289294		antisense	ENSG00000119004	1	19	19.0	0.0158	0.0126	1248	18	18	18	17	4
ENSG00000307882		antisense	ENSG00000011590	1	19	19.0	0.0158	0.0132	367	19	19	19	13	2
ENSG00000293165	FABP5P3	antisense	ENSG00000055609	1	18	18.0	0.0158	0.0115	198	17	17	17	17	0
ENSG00000228824		antisense	ENSG00000165300	1	19	19.0	0.0158	0.0064	643	17	17	16	16	16
ENSG00000276728		antisense	ENSG00000186834	1	19	19.0	0.0159	0.0109	528	18	18	17	16	9
ENSG00000263412	NFE2L1-DT	antisense	ENSG00000082641	1	18	18.0	0.0159	0.0073	888	17	17	15	15	12
ENSG00000280213		antisense	ENSG00000196700,ENSG00000198276	1	17	17.0	0.016	0.013	968	17	16	16	12	7
ENSG00000248050	SYBU-AS1	antisense	ENSG00000147642	1	18	18.0	0.016	0.0136	248	18	18	17	15	1
ENSG00000232093	DCST1-AS1	antisense	ENSG00000143537,ENSG00000163357	1	19	19.0	0.0161	0.0123	456	18	18	17	15	8
ENSG00000289788		antisense	ENSG00000157764	1	19	19.0	0.0161	0.0142	186	19	18	18	18	0
ENSG00000307565		antisense	ENSG00000150347	1	18	18.0	0.0161	0.0105	288	17	17	17	16	3
ENSG00000306030		antisense	ENSG00000198478	1	19	19.0	0.0161	0.0106	328	19	17	17	15	7
ENSG00000263826		antisense	ENSG00000156976	1	17	17.0	0.0162	0.0103	568	16	15	15	15	8
ENSG00000287705		antisense	ENSG00000203877	1	18	18.0	0.0162	0.0121	528	17	17	17	14	9
ENSG00000267610		antisense	ENSG00000008441	1	18	18.0	0.0162	0.0131	408	18	18	17	14	3
ENSG00000303284		antisense	ENSG00000140945	1	19	19.0	0.0162	0.0121	614	19	19	15	11	8
ENSG00000289327		antisense	ENSG00000135636	1	19	19.0	0.0163	0.0111	888	18	17	17	15	9
ENSG00000268592	RAET1E-AS1	antisense	ENSG00000120256,ENSG00000164520,ENSG00000203722	1	18	18.0	0.0163	0.0095	529	18	18	13	12	9
ENSG00000278177		antisense	ENSG00000183098	1	19	19.0	0.0163	0.011	328	18	18	17	15	7
ENSG00000197989	SNHG12	antisense	ENSG00000180098	1	19	19.0	0.0164	0.0149	1288	19	18	16	15	7
ENSG00000296676		antisense	ENSG00000111218	1	18	18.0	0.0164	0.0104	568	17	17	15	14	9
ENSG00000225733	FGD5-AS1	antisense	ENSG00000154783,ENSG00000177463	1	19	19.0	0.0164	0.012	356	18	18	18	16	6
ENSG00000287873		antisense	ENSG00000163376	1	17	17.0	0.0165	0.0111	288	16	16	15	14	3
ENSG00000286305		antisense	ENSG00000196367	1	19	19.0	0.0165	0.0145	220	19	19	19	14	0
ENSG00000299828		antisense	ENSG00000171533	1	18	18.0	0.0165	0.0107	909	18	18	15	10	9
ENSG00000307236		antisense	ENSG00000138675	1	19	19.0	0.0166	0.0038	888	16	16	16	16	15
ENSG00000236753	MKLN1-AS	antisense	ENSG00000128585	1	18	18.0	0.0168	0.0064	608	17	16	15	14	14
ENSG00000295813		antisense	ENSG00000109919	1	17	17.0	0.0168	0.0135	200	16	16	16	16	0
ENSG00000301282		antisense	ENSG00000247315	1	18	18.0	0.0168	0.014	168	18	18	16	16	0
ENSG00000288911		antisense	ENSG00000132356	1	17	17.0	0.0168	0.0116	608	17	17	13	12	8
ENSG00000236526		antisense	ENSG00000132640	1	19	19.0	0.0168	0.017	168	19	19	19	18	0
ENSG00000308631		antisense	ENSG00000115970	1	17	17.0	0.0168	0.0145	448	17	16	16	14	1
ENSG00000293241	GTF2IP4	antisense	ENSG00000274570	1	17	17.0	0.0169	0.0148	184	17	16	16	16	0
ENSG00000303930		antisense	ENSG00000184254	1	19	19.0	0.0169	0.0145	288	19	19	18	14	2
ENSG00000255250		antisense	ENSG00000151376	1	17	17.0	0.0169	0.0127	328	17	17	16	11	2
ENSG00000284747		antisense	ENSG00000116285	1	19	19.0	0.0169	0.0138	488	19	19	18	12	3
ENSG00000305861		antisense	ENSG00000178104	1	19	19.0	0.0169	0.0121	419	18	17	17	16	3
ENSG00000218537	MIF-AS1	antisense	ENSG00000240972,ENSG00000251357	1	18	18.0	0.017	0.0119	448	18	17	15	10	8
ENSG00000297522		antisense	ENSG00000084652	1	19	19.0	0.017	0.0129	288	19	17	17	16	1
ENSG00000270820	USP34-DT	antisense	ENSG00000082898	1	19	19.0	0.017	0.0133	456	18	18	17	14	5
ENSG00000289124		antisense	ENSG00000172269	1	19	19.0	0.017	0.0153	408	19	18	17	14	5
ENSG00000272663	PPP1R21-DT	antisense	ENSG00000162869	1	19	19.0	0.0171	0.0121	373	19	19	16	14	5
ENSG00000278376		antisense	ENSG00000110367	1	19	19.0	0.0171	0.0129	328	19	18	16	16	1
ENSG00000301045		antisense	ENSG00000040731	1	18	18.0	0.0172	0.0142	183	18	17	17	13	0
ENSG00000244586		antisense	ENSG00000114251	1	17	17.0	0.0172	0.0152	227	17	17	16	14	1
ENSG00000310566		antisense	ENSG00000089163	1	19	19.0	0.0172	0.0138	291	18	18	18	18	0
ENSG00000301373		antisense	ENSG00000146802	1	19	19.0	0.0173	0.0152	248	19	19	19	14	1
ENSG00000293873		antisense	ENSG00000023171	1	19	19.0	0.0173	0.0142	248	18	18	18	16	4
ENSG00000265148	TSPOAP1-AS1	antisense	ENSG00000108375,ENSG00000213246,ENSG00000285897	1	19	19.0	0.0173	0.0156	149	19	19	19	16	0
ENSG00000289891		antisense	ENSG00000153391,ENSG00000267140	1	19	19.0	0.0173	0.0118	368	19	18	15	15	2
ENSG00000267598		antisense	ENSG00000160888	1	19	19.0	0.0175	0.0069	521	17	16	16	16	12
ENSG00000298810		antisense	ENSG00000099974	1	18	18.0	0.0175	0.0154	368	18	17	17	14	1
ENSG00000258197	NKX2-2-AS1	antisense	ENSG00000125820	1	18	18.0	0.0175	0.0073	768	17	15	15	14	11
ENSG00000258520		antisense	ENSG00000081177,ENSG00000100626	1	18	18.0	0.0175	0.0121	228	17	17	16	16	0
ENSG00000299506		antisense	ENSG00000159714	1	17	17.0	0.0176	0.0113	408	16	16	16	13	2
ENSG00000273618		antisense	ENSG00000136367	1	18	18.0	0.0177	0.0138	328	18	18	15	12	2
ENSG00000288936		antisense	ENSG00000130449	1	19	19.0	0.0178	0.0175	153	19	19	19	18	0
ENSG00000224699	LAMTOR5-AS1	antisense	ENSG00000134248,ENSG00000168679	1	19	19.0	0.0178	0.0078	692	16	16	16	16	14
ENSG00000227857		antisense	ENSG00000278139	1	18	18.0	0.0178	0.0123	230	17	17	15	15	1
ENSG00000310537		antisense	ENSG00000286014	1	17	17.0	0.0179	0.0154	519	17	17	15	11	1
ENSG00000234614	C2CD4D-AS1	antisense	ENSG00000196407	2	18	17.5	0.0179	0.0151	328	18	18	18	13	0
ENSG00000286433		antisense	ENSG00000117751	1	19	19.0	0.0179	0.014	398	18	18	17	12	5
ENSG00000286463		antisense	ENSG00000109906	1	19	19.0	0.0179	0.0134	248	18	18	18	16	1
ENSG00000303989		antisense	ENSG00000150394	1	19	19.0	0.0179	0.0158	168	19	19	17	17	0
ENSG00000303901		antisense	ENSG00000066427,ENSG00000100815	1	18	18.0	0.0179	0.0166	312	18	18	17	12	1
ENSG00000267277		antisense	ENSG00000173928	1	18	18.0	0.018	0.0134	278	17	16	16	16	1
ENSG00000224032	EPB41L4A-AS1	antisense	ENSG00000129595	1	17	17.0	0.0181	0.0168	530	17	17	17	11	1
ENSG00000284738		antisense	ENSG00000143614,ENSG00000198837	1	19	19.0	0.0181	0.0114	528	19	17	15	13	8
ENSG00000276131		antisense	ENSG00000181938	1	17	17.0	0.0182	0.0134	488	15	15	15	13	7
ENSG00000272192		antisense	ENSG00000205268	1	19	19.0	0.0182	0.0108	448	19	16	14	14	8
